4088.9557977,2.6616716,4091.6174693
4161.938782,2.1194991,4164.0582811
6223.7974257,2.9394844,6226.7369100999995
4573.1330906,2.2146741,4575.3477647
17040.6960985,5.7165342,17046.4126327
17087.1700883,4.9804306,17092.1505189
26033.5067936,6.2740424,26039.780836
17849.7470968,4.7065251,17854.4536219
67158.6104305,12.2976619,67170.9080924
65939.4413755,9.7256755,65949.167051
101561.390512,10.875493,101572.266005
74246.1389532,10.988126,74257.1270792
285320.4242144,24.1464816,285344.570696
285901.5324357,21.2504171,285922.7828528
